year,precip_mm,climatology_mm,anomaly_mm,anomaly_percent,category
1961,153.99,168.2,-14.22,-8.45,near_normal
1962,160.57,168.2,-7.64,-4.54,near_normal
1963,182.61,168.2,14.41,8.57,near_normal
1964,152.02,168.2,-16.19,-9.62,near_normal
1965,155.7,168.2,-12.5,-7.43,near_normal
1966,172.81,168.2,4.61,2.74,near_normal
1967,145.75,168.2,-22.45,-13.35,near_normal
1968,160.86,168.2,-7.35,-4.37,near_normal
1969,199.14,168.2,30.94,18.39,near_normal
1970,184.09,168.2,15.89,9.45,near_normal
1971,117.24,168.2,-50.96,-30.3,below_normal
1972,118.99,168.2,-49.21,-29.26,below_normal
1973,183.21,168.2,15.01,8.93,near_normal
1974,176.94,168.2,8.74,5.19,near_normal
1975,153.45,168.2,-14.75,-8.77,near_normal
1976,161.16,168.2,-7.04,-4.18,near_normal
1977,199.65,168.2,31.45,18.7,near_normal
1978,133.05,168.2,-35.15,-20.9,below_normal
1979,179.84,168.2,11.64,6.92,near_normal
1980,162.2,168.2,-6.0,-3.57,near_normal
1981,178.73,168.2,10.53,6.26,near_normal
1982,172.6,168.2,4.4,2.62,near_normal
1983,165.23,168.2,-2.97,-1.77,near_normal
1984,140.76,168.2,-27.44,-16.32,near_normal
1985,149.75,168.2,-18.45,-10.97,near_normal
1986,174.84,168.2,6.64,3.95,near_normal
1987,168.65,168.2,0.45,0.27,near_normal
1988,149.71,168.2,-18.49,-10.99,near_normal
1989,151.57,168.2,-16.63,-9.89,near_normal
1990,160.53,168.2,-7.67,-4.56,near_normal
1991,187.52,168.2,19.32,11.49,near_normal
1992,146.95,168.2,-21.25,-12.63,near_normal
1993,179.27,168.2,11.07,6.58,near_normal
1994,187.26,168.2,19.06,11.33,near_normal
1995,172.47,168.2,4.27,2.54,near_normal
1996,217.18,168.2,48.98,29.12,above_normal
1997,186.81,168.2,18.61,11.06,near_normal
1998,199.92,168.2,31.72,18.86,near_normal
1999,167.81,168.2,-0.39,-0.23,near_normal
2000,139.78,168.2,-28.42,-16.89,near_normal
2001,162.0,168.2,-6.2,-3.68,near_normal
2002,151.86,168.2,-16.34,-9.71,near_normal
2003,150.63,168.2,-17.57,-10.45,near_normal
2004,180.4,168.2,12.19,7.25,near_normal
2005,148.14,168.2,-20.06,-11.92,near_normal
2006,174.92,168.2,6.72,4.0,near_normal
2007,170.52,168.2,2.32,1.38,near_normal
2008,178.5,168.2,10.3,6.12,near_normal
2009,161.81,168.2,-6.39,-3.8,near_normal
2010,177.68,168.2,9.48,5.64,near_normal
2011,132.88,168.2,-35.32,-21.0,below_normal
2012,182.75,168.2,14.55,8.65,near_normal
2013,190.59,168.2,22.39,13.31,near_normal
2014,166.47,168.2,-1.73,-1.03,near_normal
2015,156.09,168.2,-12.11,-7.2,near_normal
2016,194.58,168.2,26.38,15.68,near_normal
2017,170.38,168.2,2.18,1.29,near_normal
2018,182.03,168.2,13.83,8.22,near_normal
2019,179.43,168.2,11.23,6.68,near_normal
2020,209.32,168.2,41.12,24.45,above_normal
2021,198.78,168.2,30.58,18.18,near_normal
2022,158.05,168.2,-10.15,-6.03,near_normal
